date,Python_panel_data,R_panel_data,Stata_panel_data
2004-01,44,0,53
2004-02,0,83,52
2004-03,0,0,100
2004-04,0,48,93
2004-05,0,0,0
2004-06,0,0,48
2004-07,0,0,0
2004-08,28,0,28
2004-09,38,0,44
2004-10,51,0,35
2004-11,61,24,45
2004-12,0,0,71
2005-01,18,0,24
2005-02,65,0,0
2005-03,0,0,0
2005-04,0,0,22
2005-05,0,0,81
2005-06,0,0,18
2005-07,0,0,15
2005-08,0,0,73
2005-09,0,18,0
2005-10,0,0,0
2005-11,0,0,35
2005-12,0,0,47
2006-01,0,23,0
2006-02,16,0,15
2006-03,0,0,0
2006-04,29,0,32
2006-05,0,0,28
2006-06,0,0,24
2006-07,10,10,0
2006-08,0,0,14
2006-09,0,0,12
2006-10,0,0,31
2006-11,0,0,12
2006-12,39,0,0
2007-01,8,0,28
2007-02,0,0,35
2007-03,0,0,27
2007-04,0,13,49
2007-05,0,11,33
2007-06,8,22,16
2007-07,0,0,25
2007-08,0,10,22
2007-09,0,0,16
2007-10,0,0,7
2007-11,0,0,17
2007-12,0,0,28
2008-01,0,0,5
2008-02,0,0,15
2008-03,0,21,17
2008-04,10,0,32
2008-05,0,0,32
2008-06,6,13,29
2008-07,5,0,29
2008-08,0,0,0
2008-09,0,5,32
2008-10,0,9,17
2008-11,0,0,24
2008-12,0,6,16
2009-01,0,0,18
2009-02,0,4,24
2009-03,0,6,28
2009-04,0,0,33
2009-05,0,4,28
2009-06,0,0,18
2009-07,0,0,23
2009-08,0,0,24
2009-09,0,0,18
2009-10,0,3,30
2009-11,0,0,26
2009-12,0,7,20
2010-01,0,6,18
2010-02,0,5,23
2010-03,0,4,29
2010-04,0,10,34
2010-05,3,7,27
2010-06,0,5,24
2010-07,0,0,21
2010-08,0,3,24
2010-09,2,0,15
2010-10,0,6,22
2010-11,0,4,25
2010-12,0,0,20
2011-01,0,3,13
2011-02,0,0,25
2011-03,4,6,26
2011-04,2,0,31
2011-05,0,3,19
2011-06,0,0,19
2011-07,0,4,16
2011-08,0,3,27
2011-09,0,4,13
2011-10,0,4,27
2011-11,2,7,28
2011-12,0,5,25
2012-01,0,4,15
2012-02,0,4,29
2012-03,0,3,31
2012-04,0,6,32
2012-05,0,8,32
2012-06,0,7,23
2012-07,0,6,22
2012-08,2,0,24
2012-09,0,2,26
2012-10,0,4,23
2012-11,0,11,34
2012-12,0,2,23
2013-01,1,4,24
2013-02,0,5,25
2013-03,2,10,33
2013-04,0,7,38
2013-05,0,4,27
2013-06,0,6,24
2013-07,0,5,29
2013-08,0,6,27
2013-09,0,4,19
2013-10,0,9,33
2013-11,5,5,32
2013-12,0,5,27
2014-01,1,2,24
2014-02,0,8,26
2014-03,0,7,33
2014-04,1,9,41
2014-05,0,5,33
2014-06,1,6,28
2014-07,3,2,30
2014-08,0,5,23
2014-09,0,6,27
2014-10,0,7,28
2014-11,0,5,29
2014-12,3,5,25
2015-01,0,5,26
2015-02,0,6,22
2015-03,3,7,34
2015-04,0,8,40
2015-05,0,12,38
2015-06,0,7,26
2015-07,0,10,37
2015-08,0,6,28
2015-09,2,6,24
2015-10,0,7,26
2015-11,0,6,34
2015-12,0,8,27
2016-01,1,8,26
2016-02,1,10,34
2016-03,0,7,35
2016-04,1,9,41
2016-05,0,14,40
2016-06,2,11,31
2016-07,0,6,27
2016-08,0,8,21
2016-09,2,8,21
2016-10,0,6,25
2016-11,2,7,34
2016-12,2,10,29
2017-01,3,10,23
2017-02,2,9,32
2017-03,2,11,39
2017-04,0,14,42
2017-05,1,15,40
2017-06,1,8,28
2017-07,0,9,28
2017-08,1,8,26
2017-09,2,8,19
2017-10,2,10,31
2017-11,2,9,32
2017-12,1,8,26
2018-01,0,11,27
2018-02,3,8,21
2018-03,1,9,34
2018-04,2,12,35
2018-05,2,16,30
2018-06,2,5,26
2018-07,2,7,19
2018-08,0,8,21
2018-09,1,9,23
2018-10,2,8,24
2018-11,3,11,24
2018-12,2,10,22
2019-01,2,7,20
2019-02,3,10,19
2019-03,1,11,30
2019-04,1,12,32
2019-05,3,9,32
2019-06,4,10,25
2019-07,2,8,23
2019-08,3,8,15
2019-09,4,12,23
2019-10,2,10,19
2019-11,3,11,24
2019-12,1,8,18
2020-01,1,11,19
2020-02,3,8,22
2020-03,5,12,24
2020-04,3,11,27
2020-05,4,15,30
2020-06,5,13,28
2020-07,3,9,21
2020-08,4,8,18
2020-09,2,10,17
2020-10,1,8,13
2020-11,3,8,21
2020-12,2,7,18
2021-01,1,5,14
2021-02,1,6,20
2021-03,2,9,18
2021-04,0,12,18
2021-05,3,9,15
2021-06,2,9,15
2021-07,4,5,12
2021-08,2,6,13
2021-09,1,2,13
2021-10,5,8,12
2021-11,1,10,17
2021-12,4,5,13
2022-01,4,10,17
2022-02,5,10,23
2022-03,5,15,26
2022-04,5,15,29
2022-05,7,16,26
2022-06,4,11,21
2022-07,5,13,19
2022-08,4,8,15
2022-09,4,9,17
2022-10,4,9,17
2022-11,4,13,20