date,Stata_data_analysis,R_data_analysis,Python_data_analysis
2004-01,0,0,0
2004-02,0,0,0
2004-03,68,54,0
2004-04,0,0,0
2004-05,0,17,0
2004-06,0,39,22
2004-07,0,40,0
2004-08,35,0,0
2004-09,0,30,0
2004-10,0,18,31
2004-11,0,19,31
2004-12,35,17,22
2005-01,12,0,0
2005-02,0,23,0
2005-03,21,0,0
2005-04,0,19,0
2005-05,13,0,0
2005-06,0,0,0
2005-07,21,0,16
2005-08,0,21,0
2005-09,19,0,37
2005-10,0,21,0
2005-11,11,0,0
2005-12,0,0,0
2006-01,0,0,13
2006-02,32,0,15
2006-03,8,18,0
2006-04,0,0,0
2006-05,10,15,0
2006-06,0,0,0
2006-07,13,8,0
2006-08,10,21,0
2006-09,9,13,0
2006-10,0,17,0
2006-11,0,10,0
2006-12,0,29,0
2007-01,0,9,0
2007-02,0,0,11
2007-03,0,4,0
2007-04,0,11,0
2007-05,14,0,8
2007-06,4,24,0
2007-07,8,14,13
2007-08,0,9,0
2007-09,19,11,0
2007-10,9,6,0
2007-11,5,19,0
2007-12,11,4,0
2008-01,8,7,4
2008-02,11,14,0
2008-03,4,13,0
2008-04,6,13,0
2008-05,7,12,0
2008-06,6,17,0
2008-07,10,9,0
2008-08,10,9,0
2008-09,13,15,0
2008-10,0,7,6
2008-11,4,16,9
2008-12,6,17,3
2009-01,10,14,0
2009-02,6,21,8
2009-03,8,12,5
2009-04,8,13,0
2009-05,4,20,0
2009-06,3,11,0
2009-07,0,11,5
2009-08,5,11,2
2009-09,8,18,0
2009-10,7,21,0
2009-11,3,19,4
2009-12,6,18,0
2010-01,10,12,0
2010-02,7,17,0
2010-03,7,16,2
2010-04,9,21,3
2010-05,9,11,2
2010-06,5,17,0
2010-07,7,20,0
2010-08,6,14,1
2010-09,4,15,0
2010-10,10,16,0
2010-11,9,16,4
2010-12,8,20,1
2011-01,5,19,0
2011-02,8,22,0
2011-03,5,23,5
2011-04,8,20,4
2011-05,4,17,2
2011-06,7,15,2
2011-07,6,18,3
2011-08,7,14,0
2011-09,10,23,0
2011-10,6,20,0
2011-11,6,21,4
2011-12,7,21,0
2012-01,6,18,2
2012-02,3,31,0
2012-03,5,25,2
2012-04,11,30,4
2012-05,7,20,3
2012-06,9,21,8
2012-07,8,22,4
2012-08,9,23,7
2012-09,9,26,6
2012-10,7,30,15
2012-11,10,30,10
2012-12,7,19,6
2013-01,7,32,9
2013-02,9,35,11
2013-03,10,30,9
2013-04,8,34,8
2013-05,8,27,10
2013-06,5,28,10
2013-07,8,27,10
2013-08,7,29,16
2013-09,4,29,12
2013-10,7,37,14
2013-11,9,41,13
2013-12,8,29,18
2014-01,7,39,14
2014-02,11,38,20
2014-03,7,38,13
2014-04,8,39,14
2014-05,11,33,17
2014-06,8,37,12
2014-07,9,40,18
2014-08,7,36,14
2014-09,8,39,13
2014-10,9,46,19
2014-11,6,41,16
2014-12,8,37,17
2015-01,6,42,12
2015-02,10,42,21
2015-03,9,46,21
2015-04,9,49,20
2015-05,7,40,25
2015-06,9,40,23
2015-07,6,44,23
2015-08,7,42,24
2015-09,8,49,20
2015-10,7,48,22
2015-11,11,49,24
2015-12,8,42,20
2016-01,6,43,22
2016-02,8,47,27
2016-03,9,49,27
2016-04,8,50,24
2016-05,8,48,25
2016-06,8,47,28
2016-07,8,39,29
2016-08,7,43,27
2016-09,7,48,30
2016-10,7,46,27
2016-11,6,48,32
2016-12,5,47,35
2017-01,6,44,37
2017-02,8,52,42
2017-03,8,61,43
2017-04,9,56,41
2017-05,7,52,41
2017-06,6,44,41
2017-07,5,44,38
2017-08,5,42,44
2017-09,6,46,47
2017-10,6,58,43
2017-11,4,55,59
2017-12,10,48,44
2018-01,6,47,52
2018-02,7,60,57
2018-03,6,55,57
2018-04,7,54,57
2018-05,7,53,57
2018-06,7,42,52
2018-07,7,47,52
2018-08,6,44,53
2018-09,5,49,47
2018-10,3,49,53
2018-11,5,44,60
2018-12,5,39,41
2019-01,6,44,56
2019-02,6,43,53
2019-03,7,50,63
2019-04,7,51,58
2019-05,6,39,60
2019-06,7,39,55
2019-07,5,37,57
2019-08,6,42,58
2019-09,5,43,63
2019-10,5,47,65
2019-11,6,46,63
2019-12,5,35,50
2020-01,5,40,63
2020-02,7,49,73
2020-03,7,41,57
2020-04,7,45,67
2020-05,6,46,71
2020-06,6,38,68
2020-07,4,37,64
2020-08,6,36,61
2020-09,5,36,62
2020-10,5,34,50
2020-11,4,34,45
2020-12,5,29,49
2021-01,4,32,47
2021-02,4,33,49
2021-03,4,35,52
2021-04,4,38,52
2021-05,4,34,60
2021-06,3,36,52
2021-07,4,31,49
2021-08,4,29,48
2021-09,5,34,56
2021-10,2,29,56
2021-11,4,37,59
2021-12,5,36,54
2022-01,6,51,82
2022-02,8,54,92
2022-03,7,69,97
2022-04,6,62,95
2022-05,6,55,94
2022-06,6,50,94
2022-07,9,43,86
2022-08,7,45,87
2022-09,6,49,100
2022-10,6,53,91
2022-11,8,61,99