date,python_text_mining,R_text_mining,Stata_text_mining
2004-01,0,0,0
2004-02,0,0,0
2004-03,0,0,0
2004-04,74,0,0
2004-05,65,0,0
2004-06,0,0,0
2004-07,0,0,0
2004-08,0,0,0
2004-09,65,0,0
2004-10,0,0,0
2004-11,0,58,0
2004-12,0,0,0
2005-01,0,0,0
2005-02,0,0,0
2005-03,0,0,0
2005-04,0,0,0
2005-05,53,0,0
2005-06,0,100,0
2005-07,0,0,0
2005-08,0,0,0
2005-09,0,0,0
2005-10,66,0,0
2005-11,0,0,0
2005-12,0,0,0
2006-01,0,0,0
2006-02,80,0,0
2006-03,0,0,0
2006-04,0,0,0
2006-05,0,0,0
2006-06,0,0,0
2006-07,0,0,0
2006-08,0,40,0
2006-09,0,0,0
2006-10,62,0,0
2006-11,0,0,0
2006-12,0,0,0
2007-01,0,0,0
2007-02,0,0,0
2007-03,0,22,0
2007-04,64,0,0
2007-05,0,0,0
2007-06,0,0,0
2007-07,0,0,0
2007-08,0,0,0
2007-09,0,0,0
2007-10,0,50,0
2007-11,0,0,0
2007-12,0,0,0
2008-01,0,0,0
2008-02,20,0,0
2008-03,10,0,0
2008-04,0,0,0
2008-05,0,0,0
2008-06,15,0,0
2008-07,0,0,0
2008-08,0,13,0
2008-09,0,14,0
2008-10,0,0,0
2008-11,9,0,0
2008-12,32,0,0
2009-01,0,0,0
2009-02,0,20,0
2009-03,0,0,0
2009-04,0,0,0
2009-05,0,7,0
2009-06,0,0,0
2009-07,7,0,0
2009-08,0,0,0
2009-09,0,0,0
2009-10,0,13,0
2009-11,0,12,0
2009-12,0,18,0
2010-01,0,7,0
2010-02,0,17,0
2010-03,0,0,0
2010-04,0,17,0
2010-05,8,9,0
2010-06,0,6,0
2010-07,0,0,0
2010-08,0,8,0
2010-09,7,15,0
2010-10,0,5,0
2010-11,8,11,0
2010-12,0,5,0
2011-01,0,11,0
2011-02,12,0,0
2011-03,6,0,0
2011-04,5,6,0
2011-05,0,13,0
2011-06,0,4,0
2011-07,0,8,0
2011-08,5,5,0
2011-09,0,12,0
2011-10,7,10,0
2011-11,13,20,0
2011-12,0,12,0
2012-01,8,13,0
2012-02,0,8,0
2012-03,6,9,0
2012-04,5,11,0
2012-05,4,11,0
2012-06,0,11,0
2012-07,6,14,0
2012-08,16,16,0
2012-09,6,7,0
2012-10,4,16,0
2012-11,12,12,0
2012-12,0,18,0
2013-01,0,16,0
2013-02,5,15,0
2013-03,5,24,0
2013-04,5,15,0
2013-05,0,18,0
2013-06,4,17,0
2013-07,3,21,0
2013-08,6,24,0
2013-09,3,14,0
2013-10,9,23,0
2013-11,5,28,0
2013-12,6,20,0
2014-01,5,18,0
2014-02,6,11,0
2014-03,3,22,0
2014-04,5,25,0
2014-05,3,29,0
2014-06,3,16,0
2014-07,6,27,0
2014-08,8,25,0
2014-09,12,30,0
2014-10,6,20,0
2014-11,6,32,0
2014-12,9,23,0
2015-01,10,28,0
2015-02,10,28,0
2015-03,9,41,0
2015-04,9,39,0
2015-05,12,27,0
2015-06,11,40,0
2015-07,14,45,0
2015-08,7,34,0
2015-09,13,25,0
2015-10,14,35,0
2015-11,8,31,0
2015-12,11,29,0
2016-01,20,39,0
2016-02,13,35,0
2016-03,17,49,0
2016-04,18,30,0
2016-05,10,39,0
2016-06,19,39,0
2016-07,7,26,0
2016-08,19,28,0
2016-09,18,33,0
2016-10,16,26,0
2016-11,28,50,0
2016-12,24,36,0
2017-01,17,29,0
2017-02,18,50,0
2017-03,24,55,0
2017-04,24,47,0
2017-05,27,52,0
2017-06,16,37,0
2017-07,17,31,0
2017-08,18,46,0
2017-09,27,48,0
2017-10,26,45,0
2017-11,29,47,0
2017-12,20,41,0
2018-01,18,36,0
2018-02,24,47,0
2018-03,32,51,0
2018-04,29,46,0
2018-05,23,42,0
2018-06,21,31,0
2018-07,19,30,0
2018-08,22,29,0
2018-09,21,28,0
2018-10,20,35,0
2018-11,25,42,0
2018-12,27,36,0
2019-01,23,29,0
2019-02,31,33,0
2019-03,20,30,0
2019-04,24,45,0
2019-05,24,33,0
2019-06,25,28,0
2019-07,23,27,0
2019-08,27,21,0
2019-09,24,21,0
2019-10,32,33,0
2019-11,26,30,0
2019-12,27,26,0
2020-01,29,23,0
2020-02,26,23,0
2020-03,20,25,0
2020-04,15,19,0
2020-05,27,22,0
2020-06,25,18,0
2020-07,18,18,0
2020-08,17,17,0
2020-09,19,17,0
2020-10,15,8,0
2020-11,14,8,0
2020-12,11,14,0
2021-01,15,16,0
2021-02,9,13,0
2021-03,13,15,0
2021-04,10,14,0
2021-05,9,14,0
2021-06,11,10,0
2021-07,17,14,0
2021-08,9,12,0
2021-09,15,11,0
2021-10,11,14,0
2021-11,15,13,0
2021-12,13,16,0
2022-01,14,17,0
2022-02,15,14,0
2022-03,20,14,0
2022-04,21,12,0
2022-05,23,10,0
2022-06,16,12,0
2022-07,12,12,0
2022-08,18,13,0
2022-09,16,10,0
2022-10,14,9,0
2022-11,17,11,0